name,Details,Ratings,AmazonPrice,ChromaPrice,FlipkartPrice
Nokia 5 3GB RAM,Snapdragon 430 Tru-Octa Core13 MP Rear Camera8 MP Front Camera5.2″ (13.21 cm) IPS LCD Display,4.1 ★,"₹12,499 ❯",N/A,N/A
Nokia 1,MediaTek Quad core5 MP Rear Camera2 MP Front Camera4.5″ (11.43 cm) IPS LCD Display,2.5 ★,"₹5,688 ❯",N/A,N/A
Nokia 8.1,Snapdragon 710 Octa core12+13 MP Rear Camera20 MP Front Camera6.18″ (15.7 cm) IPS LCD Display,4.3 ★,N/A,N/A,N/A
Nokia 5.1 Plus (Nokia X5),MediaTek Helio P60 Octa core13+5 MP Rear Camera8 MP Front Camera5.86″ (14.88 cm) IPS LCD Display,4.3 ★,"₹8,499 ❯",N/A,N/A
Nokia 110 2019,0.3 MP Rear Camera1.77″ (4.5 cm) TFT Display4 MB RAM | 4 MB Storage800 mAh | 3W Charging,3.9 ★,N/A,N/A,"₹1,499 ❯"
Nokia 7.2 6GB RAM,Snapdragon 660 Octa core48+8+5 MP Rear Camera20 MP Front Camera6.39″ (16.23 cm) IPS LCD Display,4.1 ★,N/A,N/A,N/A
Nokia 5310,0.3 MP Rear Camera2.4″ (6.1 cm) TFT Display8 MB RAM | 16 MB Storage1200 mAh | 4.4W Charging,4.0 ★,"₹3,349 ❯",N/A,N/A
Nokia 225 2020,Unisoc0.3 MP Rear Camera2.4″ (6.1 cm) TFT Display64 MB RAM | 128 MB Storage,3.7 ★,N/A,N/A,"₹3,399 ❯"
Nokia 5.4,Snapdragon 662 Octa core48+5+2+2 MP Rear Camera16 MP Front Camera6.39″ (16.23 cm) IPS LCD Display,3.8 ★,N/A,N/A,"₹7,980 ❯"
Nokia G20,MediaTek Helio G35 Octa core48+5+2+2 MP Rear Camera8 MP Front Camera6.5″ (16.51 cm) IPS LCD Display,3.7 ★,"₹11,599 ❯",N/A,N/A
Nokia C30,Unisoc Tru-Octa Core13+2 MP Rear Camera5 MP Front Camera6.82″ (17.32 cm) IPS LCD Display,3.7 ★,N/A,N/A,"₹11,199 ❯"
Nokia 6310,0.3 MP Rear Camera2.8″ (7.11 cm) TFT Display16 MB RAM | 8 MB Storage1150 mAh Battery,3.8 ★,"₹3,199 ❯",N/A,N/A
Nokia C5-00 5MP,5 MP Rear Camera0.3 MP Front Camera2.2″ (5.59 cm) LCD Display256 MB RAM | 512 MB Storage,2.7 ★,"₹6,599 ❯",N/A,N/A
